disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType
3397,2/11/2018,TROPICAL STORM GITA,2/7/2018,2/12/2018,Emergency,AS,American Samoa                ,Hurricane
3390,9/18/2017,HURRICANE MARIA,9/16/2017,9/22/2017,Emergency,VI,Virgin Islands of the U.S.    ,Hurricane
4352,12/20/2017,SEVERE STORMS AND FLOODING,10/4/2017,10/6/2017,Major Disaster,NM,New Mexico                    ,Flood
3388,9/8/2017,HURRICANE IRMA,9/4/2017,10/4/2017,Emergency,FL,Florida                       ,Hurricane
3395,10/8/2017,HURRICANE NATE,10/7/2017,10/11/2017,Emergency,FL,Florida                       ,Hurricane
3392,10/6/2017,TROPICAL STORM NATE,10/5/2017,10/8/2017,Emergency,LA,Louisiana                     ,Hurricane
4332,8/25/2017,HURRICANE HARVEY,8/23/2017,9/15/2017,Major Disaster,TX,Texas                         ,Hurricane
4348,11/14/2017,FLOODING,5/2/2017,8/6/2017,Major Disaster,NY,New York                      ,Flood
3384,9/5/2017,HURRICANE IRMA,9/5/2017,9/7/2017,Emergency,PR,Puerto Rico                   ,Hurricane
4327,8/5/2017,FLOODING,6/7/2017,6/22/2017,Major Disaster,WY,Wyoming                       ,Flood
4302,2/14/2017,SEVERE WINTER STORM,1/3/2017,1/5/2017,Major Disaster,CA,California                    ,Severe Storm(s)
4342,10/7/2017,FLOODING,3/29/2017,6/15/2017,Major Disaster,ID,Idaho                         ,Flood
4328,8/8/2017,SEVERE WINTER STORMS FLOODING LANDSLIDES AND MUDSLIDES,1/7/2017,1/10/2017,Major Disaster,OR,Oregon                        ,Severe Storm(s)
4303,2/17/2017,SEVERE WINTER STORMS FLOODING AND MUDSLIDES,1/5/2017,1/14/2017,Major Disaster,NV,Nevada                        ,Severe Storm(s)
4341,9/27/2017,HURRICANE IRMA - SEMINOLE TRIBE OF FLORIDA,9/4/2017,10/4/2017,Major Disaster,FL,Florida                       ,Hurricane
4307,3/27/2017,SEVERE WINTER STORMS FLOODING AND MUDSLIDES,2/5/2017,2/22/2017,Major Disaster,NV,Nevada                        ,Severe Storm(s)
4344,10/10/2017,WILDFIRES,10/8/2017,10/31/2017,Major Disaster,CA,California                    ,Fire
4334,8/27/2017,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,7/19/2017,7/23/2017,Major Disaster,IA,Iowa                          ,Severe Storm(s)
4308,4/1/2017,SEVERE WINTER STORMS FLOODING AND MUDSLIDES,2/1/2017,2/23/2017,Major Disaster,CA,California                    ,Flood
3394,10/8/2017,HURRICANE NATE,10/6/2017,10/10/2017,Emergency,AL,Alabama                       ,Hurricane
4317,6/2/2017,SEVERE STORMS TORNADOES STRAIGHT-LINE WINDS AND FLOODING,4/28/2017,5/11/2017,Major Disaster,MO,Missouri                      ,Flood
4353,1/2/2018,WILDFIRES FLOODING MUDFLOWS AND DEBRIS FLOWS,12/4/2017,1/31/2018,Major Disaster,CA,California                    ,Fire
