,disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate
0,1258,,,,,,,,
1,1268,,,,,,,,
2,1241,,,,,,,,
3,1265,,,,,,,,
4,1247,,,,,,,,
5,1272,,,,,,,,
6,1243,,,,,,,,
7,1239,,,,,,,,
8,1278,,,,,,,,
9,1250,,,,,,,,
10,1275,,,,,,,,
11,1257,,,,,,,,
12,1285,,,,,,,,
13,1310,,,,,,,,
14,1335,,,,,,,,
15,1282,,,,,,,,
16,1256,,,,,,,,
17,1263,,,,,,,,
18,1273,,,,,,,,
19,1245,,,,,,,,
20,1270,,,,,,,,
21,1252,,,,,,,,
22,1277,,,,,,,,
23,1305,,,,,,,,
24,1248,,,,,,,,
25,1244,,,,,,,,
26,1283,,,,,,,,
27,1255,,,,,,,,
28,1280,,,,,,,,
29,1262,,,,,,,,
30,1290,,,,,,,,
31,1315,,,,,,,,
32,1340,,,,,,,,
33,1287,,,,,,,,
34,1261,,,,,,,,
35,1253,,,,,,,,
36,1249,,,,,,,,
37,1288,,,,,,,,
38,1260,,,,,,,,
39,1240,,,,,,,,
40,1267,,,,,,,,
41,1295,,,,,,,,
42,1320,,,,,,,,
43,1345,,,,,,,,
44,1242,,,,,,,,
45,1266,,,,,,,,
46,1380,,,,,,,,
47,1302,,,,,,,,
48,1327,,,,,,,,
49,1352,,,,,,,,
50,1377,,,,,,,,
51,1402,,,,,,,,
52,1427,,,,,,,,
53,1313,,,,,,,,
54,1338,,,,,,,,
55,1363,,,,,,,,
56,1370,,,,,,,,
57,1330,,,,,,,,
58,1292,,,,,,,,
59,1355,,,,,,,,
60,1251,,,,,,,,
61,1317,,,,,,,,
62,1365,,,,,,,,
63,1342,,,,,,,,
64,1367,,,,,,,,
65,1300,,,,,,,,
66,1392,,,,,,,,
67,1325,,,,,,,,
68,1417,,,,,,,,
69,1350,,,,,,,,
70,1303,,,,,,,,
71,1246,,,,,,,,
72,1328,,,,,,,,
73,1360,,,,,,,,
74,1353,,,,,,,,
75,1385,,,,,,,,
76,1307,,,,,,,,
77,1332,,,,,,,,
78,1357,,,,,,,,
79,1382,,,,,,,,
80,1407,,,,,,,,
81,1293,,,,,,,,
82,1375,,,,,,,,
83,1318,,,,,,,,
84,1297,,,,,,,,
85,1390,,,,,,,,
86,1322,,,,,,,,
87,1312,,,,,,,,
88,1347,,,,,,,,
89,1337,,,,,,,,
90,1372,,,,,,,,
91,1362,,,,,,,,
92,1397,,,,,,,,
93,1387,,,,,,,,
94,1422,,,,,,,,
95,1412,,,,,,,,
96,1308,,,,,,,,
97,1298,,,,,,,,
98,1333,,,,,,,,
99,1323,,,,,,,,
100,1358,,,,,,,,
101,1348,,,,,,,,
102,1343,,,,,,,,
103,1368,,,,,,,,
104,1395,,,,,,,,
105,1405,,,,,,,,
106,1420,,,,,,,,
107,1430,,,,,,,,
108,1378,,,,,,,,
109,1388,,,,,,,,
110,1403,,,,,,,,
111,1413,,,,,,,,
112,1428,,,,,,,,
113,1438,,,,,,,,
114,1400,,,,,,,,
115,1274,,,,,,,,
116,1425,,,,,,,,
117,1299,,,,,,,,
118,1383,,,,,,,,
119,1324,,,,,,,,
120,1349,,,,,,,,
121,1408,,,,,,,,
122,1374,,,,,,,,
123,1433,,,,,,,,
124,1399,,,,,,,,
125,1269,,,,,,,,
126,1281,,,,,,,,
127,1294,,,,,,,,
128,1306,,,,,,,,
129,1319,,,,,,,,
130,1331,,,,,,,,
131,1344,,,,,,,,
132,1356,,,,,,,,
133,1369,,,,,,,,
134,1381,,,,,,,,
135,1394,,,,,,,,
136,1406,,,,,,,,
137,1276,,,,,,,,
138,1431,,,,,,,,
139,1301,,,,,,,,
140,1326,,,,,,,,
141,1264,,,,,,,,
142,1410,,,,,,,,
143,1289,,,,,,,,
144,1435,,,,,,,,
145,1314,,,,,,,,
146,1393,,,,,,,,
147,1339,,,,,,,,
148,1418,,,,,,,,
149,1364,,,,,,,,
150,1254,,,,,,,,
151,1389,,,,,,,,
152,1279,,,,,,,,
153,1271,,,,,,,,
154,1304,,,,,,,,
155,1296,,,,,,,,
156,1329,,,,,,,,
157,1321,,,,,,,,
158,1346,,,,,,,,
159,1354,,,,,,,,
160,1371,,,,,,,,
161,1396,,,,,,,,
162,1415,,,,,,,,
163,1421,,,,,,,,
164,1373,,,,,,,,
165,1419,,,,,,,,
166,1398,,,,,,,,
167,1432,,,,,,,,
168,1423,,,,,,,,
169,1259,,,,,,,,
170,1284,,,,,,,,
171,1429,,,,,,,,
172,1309,,,,,,,,
173,1379,,,,,,,,
174,1334,,,,,,,,
175,1404,,,,,,,,
176,1359,,,,,,,,
177,1286,,,,,,,,
178,1384,,,,,,,,
179,1311,,,,,,,,
180,1409,,,,,,,,
181,1336,,,,,,,,
182,1291,,,,,,,,
183,1361,,,,,,,,
184,1316,,,,,,,,
185,1386,,,,,,,,
186,1341,,,,,,,,
187,1411,,,,,,,,
188,1366,,,,,,,,
189,1436,,,,,,,,
190,1391,,,,,,,,
191,1416,,,,,,,,
192,1434,,,,,,,,
193,1414,,,,,,,,
194,1439,19827.0,57974742.1,31700420.63,26274321.47,,,,2019-09-03T00:00:00.000Z
195,1351,,,,,,,,
196,1376,,,,,,,,
197,1401,,,,,,,,
198,1426,,,,,,,,
199,1424,,,,,,,,
200,1437,,,,,,,,
201,1443,555.0,2028548.78,640454.36,1388094.42,,,,2019-09-03T00:00:00.000Z
202,1465,935.0,2305722.55,1229822.49,1075900.06,,,,2019-09-03T00:00:00.000Z
203,1450,,,,,,,,
204,1460,6659.0,14538920.62,3835447.42,10703473.2,,,,2019-09-03T00:00:00.000Z
205,1485,1155.0,2965355.19,2462966.1,502389.09,,,,2019-09-03T00:00:00.000Z
206,1441,412.0,1880461.2,741924.97,1138536.23,,,,2019-09-03T00:00:00.000Z
207,1453,1559.0,2609145.45,1614171.25,994974.2,,,,2019-09-03T00:00:00.000Z
208,1475,2558.0,6621705.06,4682638.07,1939066.99,,,,2019-09-03T00:00:00.000Z
209,1454,3451.0,9369739.03,6856715.41,2513023.62,,,,2019-09-03T00:00:00.000Z
210,1479,8552.0,20213296.06,11924830.34,8288465.72,,,,2019-09-03T00:00:00.000Z
211,1451,,,,,,,,
212,1476,4409.0,13386838.38,9783608.01,3603230.37,,,,2019-09-03T00:00:00.000Z
213,1444,127.0,579893.02,297240.48,282652.54,,,,2019-09-03T00:00:00.000Z
214,1469,449.0,1644357.98,787056.7,857301.28,,,,2019-09-03T00:00:00.000Z
215,1440,272.0,470371.72,376188.66,94183.06,,,,2019-09-03T00:00:00.000Z
216,1466,23660.0,50014084.62,22764616.08,27249468.54,,,,2019-09-03T00:00:00.000Z
217,1464,5956.0,22160601.08,9065299.34,13095301.74,,,,2019-09-03T00:00:00.000Z
218,1489,,,,,,,,
219,1461,346.0,789831.28,599410.0,190421.28,,,,2019-09-03T00:00:00.000Z
220,1448,,,,,,,,
221,1445,199.0,509173.67,461070.95,48102.72,,,,2019-09-03T00:00:00.000Z
222,1470,124.0,740552.45,390852.02,349700.43,,,,2019-09-03T00:00:00.000Z
223,1455,2200.0,5431111.2,4371300.36,1059810.84,,,,2019-09-03T00:00:00.000Z
224,1449,,,,,,,,
225,1480,,,,,,,,
226,1474,3559.0,10877948.83,8093288.65,2784660.18,,,,2019-09-03T00:00:00.000Z
227,1459,9408.0,18270709.28,7651000.29,10619708.99,,,,2019-09-03T00:00:00.000Z
228,1446,20699.0,125463060.64,43407641.42,82055419.22,,,,2019-09-03T00:00:00.000Z
229,1484,46108.0,74778371.61,36715451.25,38062920.36,,,,2019-09-03T00:00:00.000Z
230,1456,,,,,,,,
231,1471,1123.0,4108811.57,2808922.31,1299889.26,,,,2019-09-03T00:00:00.000Z
232,1481,,,,,,,,
233,1494,344.0,1459279.09,1015627.62,443651.47,,,,2019-09-03T00:00:00.000Z
234,1519,15716.0,19193921.3,13999401.04,5194520.26,,,,2019-09-03T00:00:00.000Z
235,1499,700.0,2735259.91,1660130.53,1075129.38,,,,2019-09-03T00:00:00.000Z
236,1486,901.0,1792438.3,1551072.1,241366.2,,,,2019-09-03T00:00:00.000Z
237,1524,573.0,1396915.31,1044648.29,352267.02,,,,2019-09-03T00:00:00.000Z
238,1511,1768.0,8112928.87,6374506.02,1738422.85,,,,2019-09-03T00:00:00.000Z
239,1491,29177.0,57048028.63,33948484.29,23099544.34,,,,2019-09-03T00:00:00.000Z
240,1536,507.0,1465037.44,1360295.78,104741.66,,,,2019-09-03T00:00:00.000Z
241,1516,,,,,,,,
242,1458,849.0,2242480.28,1213932.96,1028547.32,,,,2019-09-03T00:00:00.000Z
243,1541,3980.0,13836392.68,9147550.58,4688842.1,,,,2019-09-03T00:00:00.000Z
244,1483,,,,,,,,
245,1463,2423.0,8779157.72,4444964.35,4334193.37,,,,2019-09-03T00:00:00.000Z
246,1508,,,,,,,,
247,1488,,,,,,,,
248,1505,3415.0,8134432.06,7834700.93,299731.13,,,,2019-09-03T00:00:00.000Z
249,1513,273.0,749315.3,493902.39,255412.91,,,,2019-09-03T00:00:00.000Z
250,1530,4156.0,9640959.42,7850466.61,1790492.81,,,,2019-09-03T00:00:00.000Z
251,1510,,,,,,,,
252,1555,953.0,3439214.02,2499993.13,939220.89,,,,2019-09-03T00:00:00.000Z
253,1457,,,,,,,,
254,1504,,,,,,,,
255,1482,19150.0,20592021.41,5813443.59,14778577.82,,,,2019-09-03T00:00:00.000Z
256,1529,,,,,,,,
257,1509,,,,,,,,
258,1496,,,,,,,,
259,1534,,,,,,,,
260,1521,4176.0,5900558.36,3293656.58,2606901.78,,,,2019-09-03T00:00:00.000Z
261,1501,41875.0,58083771.07,16977312.0,41106459.07,,,,2019-09-03T00:00:00.000Z
262,1526,3880.0,6568870.2,5100075.05,1468795.15,,,,2019-09-03T00:00:00.000Z
263,1535,,,,,,,,
264,1551,79390.0,164517307.53,77889008.09,86628299.44,,,,2019-09-03T00:00:00.000Z
265,1560,,,,,,,,
266,1473,4499.0,9679012.66,4961914.5,4717098.16,,,,2019-09-03T00:00:00.000Z
267,1462,518.0,2518800.62,1530744.62,988056.0,,,,2019-09-03T00:00:00.000Z
268,1487,2972.0,8231038.84,6576154.9,1654883.94,,,,2019-09-03T00:00:00.000Z
269,1498,10588.0,33842082.4,9327997.51,24514084.89,,,,2019-09-03T00:00:00.000Z
270,1495,1.0,1756.2,1756.2,,,,,2019-09-03T00:00:00.000Z
271,1520,2432.0,5034664.25,3517498.8,1517165.45,,,,2019-09-03T00:00:00.000Z
272,1545,229577.0,411815685.98,192014228.39,219801457.59,,,,2019-09-03T00:00:00.000Z
273,1447,559.0,3682703.79,1438319.22,2244384.57,,,,2019-09-03T00:00:00.000Z
274,1472,3219.0,7297676.37,2955622.13,4342054.24,,,,2019-09-03T00:00:00.000Z
275,1514,,,,,,,,
276,1539,116769.0,208970753.97,91728356.27,117242397.7,,,,2019-09-03T00:00:00.000Z
277,1506,8084.0,25921601.38,11710373.75,14211227.63,,,,2019-09-03T00:00:00.000Z
278,1531,,,,,,,,
279,1556,6124.0,23662227.18,13809310.51,9852916.67,,,,2019-09-03T00:00:00.000Z
280,1546,7790.0,21289503.58,12088046.88,9201456.7,,,,2019-09-03T00:00:00.000Z
281,1478,758.0,1980992.81,1468511.02,512481.79,,,,2019-09-03T00:00:00.000Z
282,1468,,,,,,,,
283,1503,,,,,,,,
284,1493,701.0,953918.36,665156.56,288761.8,,,,2019-09-03T00:00:00.000Z
285,1500,5885.0,21655767.21,15159911.68,6495855.53,,,,2019-09-03T00:00:00.000Z
286,1490,25950.0,45380866.63,23122365.52,22258501.11,,,,2019-09-03T00:00:00.000Z
287,1525,694.0,1558980.89,1279215.12,279765.77,,,,2019-09-03T00:00:00.000Z
288,1515,,,,,,,,
289,1550,4531.0,8514432.84,6200742.72,2313690.12,,,,2019-09-03T00:00:00.000Z
290,1540,,,,,,,,
291,1452,,,,,,,,
292,1442,530.0,3306085.11,1546858.08,1759227.03,,,,2019-09-03T00:00:00.000Z
293,1477,,,,,,,,
294,1467,14864.0,25872687.19,6302770.87,19569916.32,,,,2019-09-03T00:00:00.000Z
295,1492,8691.0,33051507.87,23148436.23,9903071.64,,,,2019-09-03T00:00:00.000Z
296,1544,3296.0,9262094.78,6458352.78,2803742.0,,,,2019-09-03T00:00:00.000Z
