disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh
3397,2018-02-11T00:00:00.000Z,TROPICAL STORM GITA,2018-02-07T00:00:00.000Z,2018-02-12T00:00:00.000Z,Emergency,AS,American Samoa                ,Hurricane,2018-02-11T00:00:00.000Z,2018-09-26T00:00:00.000Z,,26ec49d88ca8a9cd2419998ec2a6aabb,2018-09-26T14:20:59.689Z
3390,2017-09-18T00:00:00.000Z,HURRICANE MARIA,2017-09-16T00:00:00.000Z,2017-09-22T00:00:00.000Z,Emergency,VI,Virgin Islands of the U.S.    ,Hurricane,2017-09-18T00:00:00.000Z,2018-09-07T00:00:00.000Z,2018-09-07T00:00:00.000Z,606b8d3fbf7e4bd84b75a2be2fbf4117,2018-09-07T13:42:29.408Z
4352,2017-12-20T00:00:00.000Z,SEVERE STORMS AND FLOODING,2017-10-04T00:00:00.000Z,2017-10-06T00:00:00.000Z,Major Disaster,NM,New Mexico                    ,Flood,2017-12-21T00:00:00.000Z,2017-12-21T00:00:00.000Z,,348524eb4c9654eae1543ae0b5da70b8,2018-03-09T18:41:52.621Z
3388,2017-09-08T00:00:00.000Z,HURRICANE IRMA,2017-09-04T00:00:00.000Z,2017-10-04T00:00:00.000Z,Emergency,FL,Florida                       ,Hurricane,2017-09-09T00:00:00.000Z,2018-04-03T00:00:00.000Z,2018-03-28T00:00:00.000Z,ac1cc3782349186abe34b8cfe134ef59,2018-04-03T22:01:53.622Z
3395,2017-10-08T00:00:00.000Z,HURRICANE NATE,2017-10-07T00:00:00.000Z,2017-10-11T00:00:00.000Z,Emergency,FL,Florida                       ,Hurricane,2017-10-08T00:00:00.000Z,2017-10-13T00:00:00.000Z,,ef18518697366c7663f5767c86ce7e7a,2018-03-09T18:41:52.623Z
3392,2017-10-06T00:00:00.000Z,TROPICAL STORM NATE,2017-10-05T00:00:00.000Z,2017-10-08T00:00:00.000Z,Emergency,LA,Louisiana                     ,Hurricane,2017-10-06T00:00:00.000Z,2017-10-13T00:00:00.000Z,,682af9e820388f09802d65b17d04b2b5,2018-03-09T18:41:52.623Z
4332,2017-08-25T00:00:00.000Z,HURRICANE HARVEY,2017-08-23T00:00:00.000Z,2017-09-15T00:00:00.000Z,Major Disaster,TX,Texas                         ,Hurricane,2017-08-26T00:00:00.000Z,2017-09-15T00:00:00.000Z,,a01c14342455dd2bb17be5de349d58a7,2018-03-09T18:41:52.626Z
4348,2017-11-14T00:00:00.000Z,FLOODING,2017-05-02T00:00:00.000Z,2017-08-06T00:00:00.000Z,Major Disaster,NY,New York                      ,Flood,2017-11-14T00:00:00.000Z,2017-11-14T00:00:00.000Z,,774590d2f5017cd987dafa6524c8a79f,2018-03-09T18:41:52.622Z
3384,2017-09-05T00:00:00.000Z,HURRICANE IRMA,2017-09-05T00:00:00.000Z,2017-09-07T00:00:00.000Z,Emergency,PR,Puerto Rico                   ,Hurricane,2017-09-06T00:00:00.000Z,2017-09-18T00:00:00.000Z,,ba7237dfd425b4b7f99bc6c4981e2290,2018-03-09T18:41:52.625Z
4327,2017-08-05T00:00:00.000Z,FLOODING,2017-06-07T00:00:00.000Z,2017-06-22T00:00:00.000Z,Major Disaster,WY,Wyoming                       ,Flood,2017-08-06T00:00:00.000Z,2017-08-06T00:00:00.000Z,,de981c750156bc584eb2f59198a5aa6c,2018-03-09T18:41:52.631Z
4302,2017-02-14T00:00:00.000Z,SEVERE WINTER STORM,2017-01-03T00:00:00.000Z,2017-01-05T00:00:00.000Z,Major Disaster,CA,California                    ,Severe Storm(s),2017-02-15T00:00:00.000Z,2017-02-15T00:00:00.000Z,,1540a1e61bce1c75def700d427834cfa,2018-03-09T18:41:52.633Z
4342,2017-10-07T00:00:00.000Z,FLOODING,2017-03-29T00:00:00.000Z,2017-06-15T00:00:00.000Z,Major Disaster,ID,Idaho                         ,Flood,2017-10-07T00:00:00.000Z,2017-10-07T00:00:00.000Z,,39272bd6f6d36309e24bc65b0ebaba66,2018-03-09T18:41:52.636Z
4328,2017-08-08T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2017-01-07T00:00:00.000Z,2017-01-10T00:00:00.000Z,Major Disaster,OR,Oregon                        ,Severe Storm(s),2017-08-08T00:00:00.000Z,2017-08-08T00:00:00.000Z,,01eadc8f41392ec9b2b6d08d507c69d0,2018-03-09T18:41:52.639Z
4303,2017-02-17T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",2017-01-05T00:00:00.000Z,2017-01-14T00:00:00.000Z,Major Disaster,NV,Nevada                        ,Severe Storm(s),2017-02-18T00:00:00.000Z,2017-02-18T00:00:00.000Z,,24ef1b059c200462ad3720bfe3a1ff1f,2018-03-09T18:41:52.642Z
