disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,hash,lastRefresh
1258,,,,,,,,,,4d19a1c0116ebbd291f446dd4f353f5d,2019-09-04T00:47:21.380Z
1268,,,,,,,,,,5a9fb5ef3295e1e55f0901c821bb6e1f,2019-09-04T00:47:21.382Z
1241,,,,,,,,,,777ead5c411cb2efb04436853d0b7443,2018-03-09T18:42:11.608Z
1265,,,,,,,,,,b65172351ce90f9f3f1912f0cf401390,2019-09-04T00:47:21.380Z
1247,,,,,,,,,,da36ec31dba54b471b394548e699d17a,2019-09-04T00:47:21.378Z
1272,,,,,,,,,,63f5dcfa58d2426293d30d5a6cf01978,2019-09-04T00:47:21.384Z
1243,,,,,,,,,,924e9aa0e81f7673b0bba7a8579c8650,2019-09-04T00:47:21.375Z
1239,,,,,,,,,,b5d54ed5f31d9bfe3fcae5522958b1a5,2019-09-04T00:47:21.604Z
1278,,,,,,,,,,b717cd3e10d3bf8f54d5b9b9e7eee8e3,2019-09-04T00:47:21.385Z
1250,,,,,,,,,,a59ca44eb6ac5dec1c6599373b3e96e9,2019-09-04T00:47:21.379Z
1275,,,,,,,,,,7e9be5651c36cbd32e82d4e41b1175d0,2019-09-04T00:47:21.383Z
1257,,,,,,,,,,6b23e25742fcd6a335b1c92eda9e950c,2019-09-04T00:47:21.381Z
1285,,,,,,,,,,68b6b9c08667a39d7b0957c15745a628,2019-09-04T00:47:21.384Z
1310,,,,,,,,,,6168e059f58889e796a67c62ed41a4c5,2019-09-04T00:47:21.391Z
1335,,,,,,,,,,d6932b93080b21548a6c820f379dcb65,2019-09-04T00:47:21.394Z
1282,,,,,,,,,,149c5cb31c174a38f371a66fdfc4a8f6,2019-09-04T00:47:21.384Z
1256,,,,,,,,,,30affc1bf9bab9f0ed1072726c16f156,2018-03-09T18:42:11.623Z
1263,,,,,,,,,,ce6dead1c0137b780fcc8f52ea753c70,2019-09-04T00:47:21.380Z
1273,,,,,,,,,,d252759526bf7ecb49ea9958584400ea,2019-09-04T00:47:21.382Z
1245,,,,,,,,,,adefc01d5107064cec52b987b27e68db,2019-09-04T00:47:21.378Z
1270,,,,,,,,,,367ea7d5a2981bfc3fddbb461e72e66c,2018-03-09T18:42:11.612Z
1252,,,,,,,,,,8b92fd998046d48c18f582807710b9fd,2019-09-04T00:47:21.380Z
1277,,,,,,,,,,48260b701a5602e7d2c51c5aa80817c5,2019-09-04T00:47:21.384Z
