,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Mataura,52,NZ,1562819251,83,-46.19,168.86,52.0,3.0
1,Sao Joao da Barra,0,BR,1562819253,90,-21.64,-41.05,58.22,1.39
2,Hit,0,IQ,1562819255,31,33.64,42.83,83.91,17.94
3,Portland,90,US,1562818983,77,43.66,-70.25,64.4,3.36
4,Noumea,0,NC,1562819089,64,-22.28,166.46,73.4,8.05
5,Mahebourg,40,MU,1562819262,88,-20.41,57.7,72.0,5.82
6,Mount Gambier,75,AU,1562819264,76,-37.83,140.78,55.4,24.16
7,Uvat,59,RU,1562819266,75,59.14,68.9,68.16,15.14
8,Nikolskoye,40,RU,1562819269,62,59.7,30.79,51.8,8.95
9,Ushuaia,75,AR,1562819271,96,-54.81,-68.31,35.6,3.36
10,Arraial do Cabo,0,BR,1562819273,82,-22.97,-42.02,64.22,16.89
11,Rikitea,0,PF,1562819275,81,-23.12,-134.97,73.34,17.09
12,Coquimbo,20,CL,1562819278,100,-29.95,-71.34,48.2,1.12
13,Arica,90,CL,1562819280,67,-18.48,-70.32,62.6,2.24
14,Quatre Cocos,40,MU,1562819282,88,-20.21,57.76,72.0,5.82
15,Meulaboh,61,ID,1562819284,78,4.14,96.13,81.39,4.83
16,Albany,20,US,1562819075,69,42.65,-73.75,75.0,1.39
17,Sheksna,75,RU,1562819288,81,59.21,38.5,48.2,11.18
18,Hermanus,0,ZA,1562819291,95,-34.42,19.24,53.01,7.54
19,Broken Hill,2,AU,1562819273,42,-31.97,141.45,64.4,20.8
20,Mildura,90,AU,1562819295,59,-34.18,142.16,60.8,17.22
21,Cotonou,40,BJ,1562819297,83,6.37,2.43,78.8,10.29
22,Cabo San Lucas,5,MX,1562819007,42,22.89,-109.91,86.0,6.93
23,Port Lincoln,38,AU,1562819302,74,-34.72,135.86,58.98,27.67
24,Atuona,3,PF,1562819304,80,-9.8,-139.03,80.63,16.78
25,Cairns,75,AU,1562819203,57,-16.92,145.77,81.0,9.17
26,Kashima,75,JP,1562819308,73,33.1,130.1,82.4,14.99
27,Abha,5,SA,1562819310,49,18.22,42.5,71.6,6.49
28,Warrnambool,100,AU,1562819313,78,-38.38,142.48,54.0,11.01
29,Coihaique,95,CL,1562819315,93,-45.58,-72.07,37.4,5.82
30,Chokurdakh,37,RU,1562819317,38,70.62,147.9,77.68,7.58
31,Tasiilaq,79,GL,1562819319,75,65.61,-37.64,42.8,5.82
32,Penzance,0,GB,1562819321,93,50.12,-5.53,64.0,3.36
33,Kapaa,20,US,1562819324,69,22.08,-159.32,82.4,12.75
34,East London,0,ZA,1562819074,100,-33.02,27.91,50.0,3.36
35,Cape Town,0,ZA,1562819304,100,-33.93,18.42,53.01,4.7
36,Bonavista,5,CA,1562819104,84,48.65,-53.11,46.99,5.26
37,Ulety,0,RU,1562819332,33,51.36,112.48,81.08,7.25
38,Chivay,4,PE,1562819335,50,-15.64,-71.6,36.73,1.68
39,Hafizabad,0,PK,1562819337,44,32.07,73.69,99.35,10.67
40,Butaritari,91,KI,1562819339,64,3.07,172.79,85.55,4.63
41,Bluff,2,AU,1562819341,52,-23.58,149.07,72.98,7.11
42,Ilulissat,17,GL,1562819344,93,69.22,-51.1,41.0,3.36
43,Qaanaaq,90,GL,1562819346,65,77.48,-69.36,41.81,0.51
44,Los Llanos de Aridane,0,ES,1562819348,68,28.66,-17.92,68.0,6.93
45,Wanaka,30,NZ,1562819350,81,-44.7,169.14,42.17,2.73
46,Yellowknife,75,CA,1562819352,66,62.45,-114.38,53.6,6.93
47,Grand Gaube,40,MU,1562819355,88,-20.01,57.66,73.0,5.82
48,Hilo,90,US,1562819357,69,19.71,-155.08,80.6,6.93
49,Pierre,1,US,1562819335,82,44.37,-100.35,69.01,4.54
50,Goranboy,0,AZ,1562819361,65,40.61,46.79,78.8,6.93
51,Thompson,75,CA,1562819364,66,55.74,-97.86,55.4,2.71
52,Tsiroanomandidy,0,MG,1562819366,64,-18.77,46.05,56.19,2.55
53,Ayan,0,IR,1562819368,74,38.23,44.7,56.17,4.74
54,Eydhafushi,100,MV,1562819226,65,5.1,73.07,83.98,4.43
55,Garlasco,75,IT,1562819373,73,45.2,8.92,71.01,5.82
56,Talnakh,0,RU,1562819375,54,69.49,88.39,53.6,8.95
57,Shirokiy,100,RU,1562819377,76,53.87,39.17,59.0,3.0
58,Toropets,100,RU,1562819379,96,56.5,31.64,46.81,6.53
59,Busselton,98,AU,1562819381,83,-33.64,115.35,59.0,5.01
60,Cap Malheureux,40,MU,1562819111,88,-19.98,57.61,72.0,5.82
61,Upernavik,38,GL,1562819386,80,72.79,-56.15,42.2,6.33
62,Osmaniye,22,TR,1562819388,86,37.07,36.26,79.0,5.99
63,Aswan,0,EG,1562819390,20,24.09,32.9,84.2,2.24
64,Kaitangata,62,NZ,1562819392,60,-46.28,169.85,55.0,3.0
65,Avarua,73,CK,1562819395,78,-21.21,-159.78,75.2,9.17
66,Vaini,75,IN,1562819397,94,15.34,74.49,75.2,6.93
67,Hobart,75,AU,1562819261,44,-42.88,147.33,57.2,19.46
68,Miri,99,NG,1562819401,92,10.31,9.75,69.53,5.66
69,Mayor Pablo Lagerenza,0,PY,1562819403,59,-19.93,-60.77,68.09,6.35
70,Gubkinskiy,100,RU,1562819406,80,64.43,76.5,61.25,21.68
71,Dubbo,0,AU,1562819408,38,-32.25,148.6,59.0,16.11
72,Mar del Plata,41,AR,1562819410,84,-46.43,-67.52,40.91,6.06
73,Ribeira Grande,0,PT,1562819412,87,38.52,-28.7,69.71,5.21
74,Klaksvik,100,FO,1562819414,93,62.23,-6.59,51.8,2.24
75,Sangin,0,AF,1562819417,6,32.07,64.85,102.47,7.61
76,Awjilah,0,LY,1562819419,32,29.14,21.3,84.83,6.04
77,Nanortalik,13,GL,1562819421,93,60.14,-45.24,38.03,0.4
78,Saldanha,0,PT,1562819423,53,41.42,-6.55,68.09,3.27
79,Faanui,12,PF,1562819425,70,-16.48,-151.75,77.81,6.51
80,Ivangorod,100,RU,1562819428,65,59.38,28.23,53.51,12.35
81,Kruisfontein,0,ZA,1562819430,35,-34.0,24.73,56.93,9.55
82,Port Alfred,0,ZA,1562819432,86,-33.59,26.89,55.99,3.0
83,Yuksekova,0,TR,1562819434,53,37.57,44.29,71.6,4.7
84,Biltine,98,TD,1562819436,55,14.53,20.93,85.55,16.31
85,Petropavlovsk-Kamchatskiy,40,RU,1562819248,72,53.05,158.65,66.2,8.95
86,Castro,90,CL,1562819441,100,-42.48,-73.76,42.8,6.93
87,Ocampo,82,MX,1562819443,61,27.32,-102.4,72.41,5.23
88,Dudinka,0,RU,1562819445,54,69.41,86.18,53.6,8.95
89,Mercedes,84,UY,1562819448,92,-33.25,-58.03,54.0,1.99
90,Kladanj,0,BA,1562819450,100,44.23,18.69,46.4,1.12
91,Chandbali,100,IN,1562819452,49,20.77,86.74,94.19,10.36
92,Chicama,20,PE,1562819454,82,-7.84,-79.15,62.6,8.05
93,Cidreira,100,BR,1562819456,74,-30.17,-50.22,58.55,5.1
94,Panacan,75,PH,1562819459,74,7.15,125.66,89.01,4.7
95,Arlit,1,NE,1562819461,27,18.74,7.39,91.13,10.89
96,Port Elizabeth,1,US,1562819463,73,39.31,-74.98,75.99,5.08
97,Rio Tuba,60,PH,1562819465,79,8.51,117.43,83.75,13.42
98,Chumphon,20,TH,1562819468,63,10.5,99.18,91.4,5.82
99,Jamestown,92,AU,1562819398,77,-33.21,138.6,55.67,20.15
100,Victoria,75,BN,1562819472,62,5.28,115.24,89.6,3.36
101,Codrington,0,AU,1562819474,33,-28.95,153.24,75.2,14.99
102,Puerto Ayora,33,EC,1562819432,92,-0.74,-90.35,70.0,1.01
103,Albertville,0,FR,1562819479,76,45.68,6.39,62.01,3.36
104,Georgetown,40,GY,1562819459,100,6.8,-58.16,73.4,4.7
105,Komsomolskiy,83,RU,1562819483,75,67.55,63.78,64.67,15.26
106,College,40,US,1562819485,51,64.86,-147.8,82.99,3.89
107,Antiguo Morelos,25,MX,1562819487,66,22.55,-99.08,82.99,1.99
108,Dikson,100,RU,1562819490,97,73.51,80.55,31.37,10.98
109,Pevek,0,RU,1562819492,58,69.7,170.27,55.13,13.22
110,Liverpool,90,GB,1562819311,93,53.41,-2.98,61.0,3.36
111,Dingle,16,PH,1562819496,60,11.0,122.67,88.07,4.59
112,Qaqortoq,50,GL,1562819498,81,60.72,-46.03,44.6,5.82
113,Atar,22,MR,1562819501,22,20.52,-13.05,82.31,8.48
114,Mount Isa,34,AU,1562819503,15,-20.73,139.49,78.8,12.75
115,Chuy,53,UY,1562819505,91,-33.69,-53.46,53.51,3.8
116,Glasgow,90,GB,1562819388,93,55.86,-4.24,61.0,4.7
117,Tautira,20,PF,1562819509,54,-17.73,-149.15,80.6,13.87
118,Margate,75,AU,1562819512,44,-43.03,147.26,57.2,19.46
119,Poum,20,MK,1562819514,66,41.28,20.71,51.8,6.93
120,Oktyabrskiy,75,RU,1562819516,87,55.61,37.97,57.2,4.47
121,Tura,100,RU,1562819518,82,64.27,100.22,59.63,10.76
122,Hay River,40,CA,1562819520,42,60.82,-115.79,66.2,6.93
123,Namibe,15,AO,1562819523,81,-15.19,12.15,66.29,9.48
124,Punta Arenas,90,CL,1562819525,100,-53.16,-70.91,37.4,6.93
