disasternumber,declarationdate,statecode,incidenttype,totalnumberiaapproved,totalamountihpapproved
4447,6/18/2019,OH,Tornado,1595,4377259.5
4419,3/5/2019,AL,Tornado,136,1293818.47
4385,8/20/2018,CT,Tornado,0,0
4324,7/25/2017,OK,Tornado,0,0
4300,2/11/2017,LA,Tornado,588,3006480.74
4297,1/26/2017,GA,Tornado,593,2962689.95
4295,1/25/2017,MS,Tornado,577,3338999.67
4275,8/3/2016,MT,Tornado,0,0
4205,1/7/2015,MS,Tornado,0,0
4179,6/17/2014,NE,Tornado,0,0
4157,11/26/2013,IL,Tornado,381,2858538.97
4117,5/20/2013,OK,Tornado,3663,15130900.23
3125,4/22/1998,AR,Tornado,0,0
3090,5/15/1984,LA,Tornado,0,0
3089,5/11/1984,GA,Tornado,0,0
3088,5/11/1984,AL,Tornado,0,0
3085,4/23/1982,AR,Tornado,0,0
3084,4/10/1982,MS,Tornado,0,0
3081,6/13/1980,PA,Tornado,0,0
3076,4/6/1979,IA,Tornado,0,0
3065,7/7/1978,ND,Tornado,0,0
3064,4/24/1978,AL,Tornado,0,0
3063,4/24/1978,MS,Tornado,0,0
3062,4/22/1978,AR,Tornado,0,0
3054,1/20/1978,AR,Tornado,0,0
3008,3/14/1975,GA,Tornado,0,0
3007,1/18/1975,AL,Tornado,0,0
3006,1/18/1975,MS,Tornado,0,0
1994,6/15/2011,MA,Tornado,1079,4904077.68
1943,10/14/2010,NY,Tornado,0,0
1921,7/2/2010,MN,Tornado,0,0
1834,4/27/2009,AR,Tornado,282,1864525.69
1612,11/8/2005,IN,Tornado,244,885607.65
1599,8/22/2005,WY,Tornado,77,474304.46
1484,8/1/2003,OH,Tornado,46108,74778371.61
1432,9/10/2002,WI,Tornado,0,0
1416,5/21/2002,IL,Tornado,0,0
1409,5/1/2002,MD,Tornado,0,0
1353,12/29/2000,ND,Tornado,0,0
1323,4/7/2000,TX,Tornado,0,0
1310,1/10/2000,KY,Tornado,0,0
1285,8/16/1999,UT,Tornado,0,0
1280,6/9/1999,SD,Tornado,0,0
1274,5/6/1999,TX,Tornado,0,0
1273,5/4/1999,KS,Tornado,0,0
1272,5/4/1999,OK,Tornado,0,0
1225,6/23/1998,MN,Tornado,NULL,NULL
1212,4/1/1998,MN,Tornado,NULL,NULL
1167,3/7/1997,TN,Tornado,NULL,NULL
1058,6/26/1995,OK,Tornado,NULL,NULL
1057,6/14/1995,TN,Tornado,NULL,NULL
1055,6/13/1995,KY,Tornado,NULL,NULL
1033,7/7/1994,GA,Tornado,NULL,NULL
1020,3/31/1994,GA,Tornado,NULL,NULL
987,4/26/1993,OK,Tornado,NULL,NULL
982,3/13/1993,FL,Tornado,NULL,NULL
980,3/4/1993,GA,Tornado,NULL,NULL
970,12/4/1992,TX,Tornado,NULL,NULL
969,12/1/1992,GA,Tornado,NULL,NULL
968,11/25/1992,MS,Tornado,NULL,NULL
967,10/17/1992,MS,Tornado,NULL,NULL
963,9/18/1992,WI,Tornado,NULL,NULL
959,9/2/1992,WI,Tornado,NULL,NULL
949,7/2/1992,TX,Tornado,NULL,NULL
939,3/20/1992,MS,Tornado,NULL,NULL
905,5/8/1991,OK,Tornado,NULL,NULL
903,4/29/1991,KS,Tornado,NULL,NULL
878,8/29/1990,IL,Tornado,NULL,NULL
848,11/17/1989,AL,Tornado,NULL,NULL
837,7/17/1989,CT,Tornado,NULL,NULL
833,6/16/1989,LA,Tornado,NULL,NULL
827,5/17/1989,NC,Tornado,NULL,NULL
819,1/13/1989,IL,Tornado,NULL,NULL
818,12/2/1988,NC,Tornado,NULL,NULL
817,11/23/1988,AR,Tornado,NULL,NULL
814,7/28/1988,IA,Tornado,NULL,NULL
806,12/17/1987,AR,Tornado,NULL,NULL
804,11/30/1987,LA,Tornado,NULL,NULL
802,11/20/1987,TX,Tornado,NULL,NULL
793,5/26/1987,TX,Tornado,NULL,NULL
772,9/10/1986,TX,Tornado,NULL,NULL
767,6/5/1986,IN,Tornado,NULL,NULL
763,4/23/1986,TX,Tornado,NULL,NULL
738,6/3/1985,OH,Tornado,NULL,NULL
737,6/3/1985,PA,Tornado,NULL,NULL
718,7/19/1984,NE,Tornado,NULL,NULL
716,7/3/1984,NE,Tornado,NULL,NULL
710,6/12/1984,WI,Tornado,NULL,NULL
704,5/3/1984,OK,Tornado,NULL,NULL
703,4/26/1984,MS,Tornado,NULL,NULL
700,3/30/1984,SC,Tornado,NULL,NULL
699,3/30/1984,NC,Tornado,NULL,NULL
660,6/5/1982,IL,Tornado,NULL,NULL
655,4/8/1982,TX,Tornado,NULL,NULL
625,6/4/1980,NE,Tornado,NULL,NULL
621,5/16/1980,MI,Tornado,NULL,NULL
620,5/15/1980,MO,Tornado,NULL,NULL
617,4/16/1980,AR,Tornado,NULL,NULL
608,10/4/1979,CT,Tornado,NULL,NULL
591,7/19/1979,WY,Tornado,NULL,NULL
590,7/1/1979,IA,Tornado,NULL,NULL
579,4/21/1979,MO,Tornado,NULL,NULL
576,4/13/1979,OK,Tornado,NULL,NULL
575,4/11/1979,TX,Tornado,NULL,NULL
574,4/11/1979,AR,Tornado,NULL,NULL
567,12/6/1978,LA,Tornado,NULL,NULL
535,5/7/1977,MO,Tornado,NULL,NULL
498,4/1/1976,AR,Tornado,NULL,NULL
497,4/1/1976,OK,Tornado,NULL,NULL
491,12/10/1975,OK,Tornado,NULL,NULL
478,7/25/1975,IL,Tornado,NULL,NULL
467,5/7/1975,NE,Tornado,NULL,NULL
466,5/3/1975,MO,Tornado,NULL,NULL
463,4/1/1975,AR,Tornado,NULL,NULL
462,4/1/1975,TX,Tornado,NULL,NULL
460,3/29/1975,GA,Tornado,NULL,NULL
456,1/30/1975,MS,Tornado,NULL,NULL
431,4/26/1974,WI,Tornado,NULL,NULL
429,4/12/1974,MI,Tornado,NULL,NULL
428,4/12/1974,NC,Tornado,NULL,NULL
427,4/11/1974,IL,Tornado,NULL,NULL
425,4/5/1974,GA,Tornado,NULL,NULL
424,4/4/1974,TN,Tornado,NULL,NULL
423,4/4/1974,IN,Tornado,NULL,NULL
422,4/4/1974,AL,Tornado,NULL,NULL
421,4/4/1974,OH,Tornado,NULL,NULL
420,4/4/1974,KY,Tornado,NULL,NULL
391,6/11/1973,GA,Tornado,NULL,NULL
370,4/4/1973,GA,Tornado,NULL,NULL
369,3/27/1973,AL,Tornado,NULL,NULL
306,5/18/1971,TN,Tornado,NULL,NULL
305,5/10/1971,KY,Tornado,NULL,NULL
302,2/22/1971,MS,Tornado,NULL,NULL
286,5/13/1970,TX,Tornado,NULL,NULL
267,7/15/1969,KS,Tornado,NULL,NULL
266,7/15/1969,OH,Tornado,NULL,NULL
242,6/5/1968,IL,Tornado,NULL,NULL
240,5/29/1968,IA,Tornado,NULL,NULL
239,5/29/1968,AR,Tornado,NULL,NULL
238,5/4/1968,OH,Tornado,NULL,NULL
237,5/4/1968,KY,Tornado,NULL,NULL
236,5/3/1968,AR,Tornado,NULL,NULL
229,7/18/1967,KS,Tornado,NULL,NULL
227,4/25/1967,IL,Tornado,NULL,NULL
219,6/10/1966,KS,Tornado,NULL,NULL
200,6/19/1965,CO,Tornado,NULL,NULL
199,6/19/1965,TX,Tornado,NULL,NULL
194,4/25/1965,IL,Tornado,NULL,NULL
192,4/21/1965,WI,Tornado,NULL,NULL
191,4/14/1965,OH,Tornado,NULL,NULL
190,4/14/1965,MI,Tornado,NULL,NULL
189,4/14/1965,IN,Tornado,NULL,NULL
102,5/28/1960,AR,Tornado,NULL,NULL
85,6/6/1958,TX,Tornado,NULL,NULL
79,6/22/1957,ND,Tornado,NULL,NULL
77,5/29/1957,AR,Tornado,NULL,NULL
75,5/22/1957,MO,Tornado,NULL,NULL
54,4/7/1956,OK,Tornado,NULL,NULL
53,4/5/1956,MI,Tornado,NULL,NULL
34,5/27/1955,KS,Tornado,NULL,NULL
16,3/17/1954,GA,Tornado,NULL,NULL
14,12/6/1953,MS,Tornado,NULL,NULL
7,6/11/1953,MA,Tornado,NULL,NULL
6,6/9/1953,MI,Tornado,NULL,NULL
4,6/2/1953,MI,Tornado,NULL,NULL
2,5/15/1953,TX,Tornado,NULL,NULL
1,5/2/1953,GA,Tornado,NULL,NULL
