,disasternumber,declarationdate,incidenttype,statecode,totalnumberiaapproved,totalamountihpapproved
0,4324,2017-07-25,Tornado,OK,,
1,4300,2017-02-11,Tornado,LA,588.0,3006480.74
2,4297,2017-01-26,Tornado,GA,593.0,2962689.95
3,4295,2017-01-25,Tornado,MS,577.0,3338999.67
4,4275,2016-08-03,Tornado,MT,,
5,4205,2015-01-07,Tornado,MS,,
6,4179,2014-06-17,Tornado,NE,,
7,4117,2013-05-20,Tornado,OK,3663.0,15130900.23
8,4157,2013-11-26,Tornado,IL,381.0,2858538.97
9,1994,2011-06-15,Tornado,MA,1079.0,4904077.68
10,1943,2010-10-14,Tornado,NY,,
11,1921,2010-07-02,Tornado,MN,,
12,1834,2009-04-27,Tornado,AR,282.0,1864525.69
13,1612,2005-11-08,Tornado,IN,244.0,885607.65
14,1599,2005-08-22,Tornado,WY,77.0,474304.46
15,1484,2003-08-01,Tornado,OH,46108.0,74778371.61
16,1432,2002-09-10,Tornado,WI,,
17,1416,2002-05-21,Tornado,IL,,
18,1409,2002-05-01,Tornado,MD,,
19,1353,2000-12-29,Tornado,ND,,
20,1310,2000-01-10,Tornado,KY,,
21,1323,2000-04-07,Tornado,TX,,
22,1285,1999-08-16,Tornado,UT,,
23,1280,1999-06-09,Tornado,SD,,
24,1273,1999-05-04,Tornado,KS,,
25,1272,1999-05-04,Tornado,OK,,
26,1274,1999-05-06,Tornado,TX,,
27,3125,1998-04-22,Tornado,AR,,
28,1225,1998-06-23,Tornado,MN,,
29,1212,1998-04-01,Tornado,MN,,
30,1167,1997-03-07,Tornado,TN,,
31,1058,1995-06-26,Tornado,OK,,
32,1057,1995-06-14,Tornado,TN,,
33,1055,1995-06-13,Tornado,KY,,
34,1033,1994-07-07,Tornado,GA,,
35,1020,1994-03-31,Tornado,GA,,
36,878,1990-08-29,Tornado,IL,,
37,848,1989-11-17,Tornado,AL,,
38,837,1989-07-17,Tornado,CT,,
39,804,1987-11-30,Tornado,LA,,
40,827,1989-05-17,Tornado,NC,,
41,817,1988-11-23,Tornado,AR,,
42,819,1989-01-13,Tornado,IL,,
43,802,1987-11-20,Tornado,TX,,
44,833,1989-06-16,Tornado,LA,,
45,818,1988-12-02,Tornado,NC,,
46,814,1988-07-28,Tornado,IA,,
47,806,1987-12-17,Tornado,AR,,
48,793,1987-05-26,Tornado,TX,,
49,772,1986-09-10,Tornado,TX,,
50,763,1986-04-23,Tornado,TX,,
51,737,1985-06-03,Tornado,PA,,
52,738,1985-06-03,Tornado,OH,,
53,767,1986-06-05,Tornado,IN,,
54,700,1984-03-30,Tornado,SC,,
55,3088,1984-05-11,Tornado,AL,,
56,718,1984-07-19,Tornado,NE,,
